month,year,ninety,seventyf,mean,twentyf,ten,count
4,1982,3.275,1.1875,-1.5,-4.25,-5.8,30
4,1911,3.965,2.1375,-0.55,-3.5625,-9.265,30
4,1934,13.35,12.175,7.075,1.45,0.495,30
4,1962,5.575,4.3625,1.4,0.325,-1.725,30
4,1938,6.355,4.375,3.475,2.8,1.1,30
4,2001,4.4,1.875,0,-1.1875,-2.475,30
4,1977,8.655,6.3,2.225,-0.8875,-2.825,30
4,1965,4.28,3.2375,1.65,-0.2875,-0.835,30
4,1976,8.245,5.4875,3.325,0.65,-0.575,30
4,1910,7.61,4.5875,2.35,-0.1625,-2.94,30
4,1952,7.09,4.2,1.375,-1.1,-5.63,30
4,1975,4.45,2.8,0.125,-2.625,-5,30
4,1916,5.88,3.9,2.625,-0.1875,-1.76,30
4,1953,3.46,2.125,0.025,-3.3875,-6.155,30
4,2000,4.05,3.25,2.125,-0.6875,-3.575,30
4,1935,3.885,2.4375,1.1,-4.175,-7.285,30
4,1896,4.505,3.275,1.65,-0.6375,-4.785,30
4,1900,8.68,7.25,4.6,2.375,0.55,30
4,1927,3.925,2.5,-0.55,-1.5875,-5.72,30
4,1941,10.55,9.6,6.25,4.1625,2.97,30
4,1957,6.95,1.95,0.825,-1.1,-2.09,30
4,1920,2.285,1.3875,-0.4,-2.6875,-6.185,30
4,1913,5.575,3.5375,1.675,-1.225,-2.53,30
4,1959,5.355,4.2,0.575,-0.7125,-2.835,30
4,1936,5.875,5.4875,2.35,0,-5.94,30
4,1967,2.005,0.8875,-0.825,-3.05,-3.93,30
4,1978,6.23,5,3.575,-0.3375,-2.285,30
4,1921,4.475,2.8,1.1,-1.1,-3.54,30
4,1929,4.205,2.0625,0.525,-3.4625,-7.61,30
4,1986,4.125,1.75,0,-1.25,-3.525,30
4,1933,4.2,2.9875,1.525,-0.8375,-3.05,30
4,2011,2.25,0.75,-2.125,-4.5,-5.25,30
4,1939,7.035,5.3,3.05,-0.475,-2.03,30
4,1903,3.955,1.9625,-0.275,-1.975,-4.615,30
4,2010,6.275,4.1875,1.875,-1.4375,-4.75,30
4,2005,8.15,4.5,1.5,-0.6875,-3.275,30
4,1924,4.775,2.2875,-0.975,-3.05,-4.225,30
4,1945,3.9,1.1375,0.25,-3.9,-5.22,30
4,1961,4.755,2.5,0.7,-1.325,-3.685,30
4,1899,4.775,2.1625,-0.275,-2.525,-5.575,30
4,1971,6.155,4.9375,3.2,-1.5125,-3.605,30
4,1956,6.51,3.4625,0.3,-1.225,-2.725,30
4,1960,5.86,3.95,1.5,0.55,-0.97,30
4,1889,7.8,6.35,2.925,0.2125,-0.635,30
4,1895,6.205,3.9,2.475,0.6125,-0.0549999,30
4,1931,10.055,6.1375,4.85,3.7125,2.175,30
4,1904,8.9,7.0625,5.55,2.8,-1.75,30
